City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,53.73,84.0,2.0,2.55,AU,1717651255.0
1,dryden,49.7833,-92.7503,55.69,88.0,100.0,9.22,CA,1717651277.0
2,nizhniy odes,63.6445,54.856,55.89,69.0,84.0,8.1,RU,1717651341.0
3,paso de los libres,-29.7131,-57.0899,63.5,92.0,94.0,7.05,AR,1717651247.0
4,sarakhs,36.5449,61.1577,88.03,9.0,0.0,10.71,IR,1717651341.0
5,bredasdorp,-34.5322,20.0403,53.2,88.0,77.0,10.67,ZA,1717651259.0
6,whitehorse,60.7161,-135.0538,50.77,48.0,75.0,11.5,CA,1717650957.0
7,yellowknife,62.456,-114.3525,54.41,69.0,75.0,9.22,CA,1717651260.0
8,zhezqazghan,47.7833,67.7667,81.18,26.0,40.0,15.66,KZ,1717651342.0
9,castro,-24.7911,-50.0119,53.78,83.0,45.0,2.04,BR,1717651342.0
10,luwuk,-0.9516,122.7875,82.17,71.0,100.0,7.43,ID,1717651342.0
11,grytviken,-54.2811,-36.5092,29.08,93.0,100.0,6.4,GS,1717651255.0
12,port-aux-francais,-49.35,70.2167,36.05,74.0,24.0,41.2,TF,1717651257.0
13,haiku-pauwela,20.9219,-156.3051,75.22,82.0,20.0,14.97,US,1717651264.0
14,kapa'a,22.0752,-159.319,82.38,83.0,100.0,10.36,US,1717651081.0
15,tiksi,71.6872,128.8694,47.48,65.0,41.0,5.46,RU,1717651266.0
16,invercargill,-46.4,168.35,52.02,97.0,100.0,1.01,NZ,1717651254.0
17,waitangi,-43.9535,-176.5597,52.83,88.0,100.0,13.0,NZ,1717651253.0
18,avarua,-21.2078,-159.775,73.45,73.0,20.0,2.3,CK,1717651268.0
19,udachny,66.4167,112.4,52.45,91.0,100.0,21.61,RU,1717651289.0
20,adamstown,-25.066,-130.1015,71.87,77.0,34.0,12.5,PN,1717651255.0
21,puerto ayora,-0.7393,-90.3518,70.56,96.0,25.0,1.01,EC,1717651271.0
22,albany,42.6001,-73.9662,70.56,85.0,100.0,5.82,US,1717651130.0
23,anadyr,64.75,177.4833,37.9,60.0,0.0,15.66,RU,1717651263.0
24,olonkinbyen,70.9221,-8.7187,32.13,98.0,100.0,21.05,SJ,1717651257.0
25,santa cruz,-17.8,-63.1667,67.46,88.0,0.0,5.75,BO,1717651314.0
26,berezovyy,51.6667,135.7,64.92,51.0,87.0,3.02,RU,1717651268.0
27,tranovaho,,,,,,,,
28,taiohae,,,,,,,,
29,geraldton,-28.7667,114.6,81.01,29.0,96.0,19.57,AU,1717651263.0
30,saipan,15.1355,145.701,92.1,58.0,0.0,14.97,MP,1717651261.0
31,chonchi,-42.6128,-73.8092,52.12,97.0,100.0,4.59,CL,1717651278.0
32,uturoa,-16.7333,-151.4333,80.33,82.0,74.0,8.01,PF,1717651276.0
33,aguililla,18.7333,-102.7333,72.48,74.0,0.0,4.21,MX,1717651344.0
